domain_id,domain_name,control_id,title,description,objective,control_type,frequency,fedramp_delta,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_fedramp,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
GOV,Governance,CCF-GOV-01,Information Security Policy,"The organization establishes, approves, and communicates a formal information security policy that defines the organization's commitment to security, assigns accountability, and sets the strategic direction for the security program. The policy is reviewed at least annually and updated as needed. The policy addresses all NIST 800-53 control families and FedRAMP requirements.","Ensure a management-approved security policy exists, is communicated, and remains current.",Administrative,Annual review; update upon significant change,False,CC1.1; CC1.2,A.5.1,5.1.1,,GV.PO-01; GV.PO-02,PL-1; PM-1,PL-1,12.1; 12.1.1,§164.316(a),Art. 24; Art. 32,§1798.100(e)
GOV,Governance,CCF-GOV-02,Security Roles and Responsibilities,"The organization defines, documents, and communicates information security roles and responsibilities for all personnel, including executive leadership, security team, IT operations, engineering, and general workforce. Accountability for control ownership is clearly assigned.",Ensure clear ownership and accountability for security responsibilities across the organization.,Administrative,Annual review; update upon organizational change,False,CC1.2; CC1.3,A.5.2; A.5.4,6.1.1,,GV.RR-01; GV.RR-02,PL-1; PM-2; PM-13,PM-2; PM-13,12.1.2; 12.4,§164.308(a)(2),Art. 24; Art. 37,
GOV,Governance,CCF-GOV-03,Executive Oversight and Reporting,"Senior leadership and/or the board of directors provide oversight of the information security program through regular reporting on security posture, risk status, compliance status, and material security events. Security metrics are reported to leadership at least quarterly.",Ensure executive visibility into and accountability for the security program.,Administrative,Quarterly reporting; annual program review,False,CC1.2; CC4.1; CC4.2,A.5.1; A.5.4,,,GV.OV-01; GV.OV-02; GV.OV-03,PM-1; PM-6,PM-1; PM-6,12.4; 12.4.1,§164.308(a)(2),Art. 24,
GOV,Governance,CCF-GOV-04,Acceptable Use Policy,"The organization defines and communicates an acceptable use policy that governs the appropriate use of organizational assets, systems, and data. The policy covers personal use, prohibited activities, and consequences for violations.",Establish clear expectations for appropriate use of organizational resources.,Administrative,Annual review; acknowledgment at hire and annually,False,CC1.1; CC1.4,A.5.10,8.1.3,,GV.PO-01,PL-4,PL-4,12.3,§164.310(b); §164.312(a)(1),,
GOV,Governance,CCF-GOV-05,Code of Conduct and Ethics,The organization maintains a code of conduct that establishes ethical expectations and behavioral standards for all personnel. Adherence is required as a condition of employment/engagement.,Set ethical expectations and create accountability for organizational conduct.,Administrative,Annual acknowledgment; review upon significant change,False,CC1.1; CC1.4; CC1.5,A.5.4; A.6.2,,,GV.PO-01,PL-4; PS-8,PL-4; PS-8,12.6.3.2,§164.308(a)(1)(ii)(C),,
GOV,Governance,CCF-GOV-06,Regulatory and Contractual Compliance Management,"The organization identifies, tracks, and maintains compliance with applicable legal, regulatory, and contractual requirements including federal requirements. A compliance register is maintained and reviewed regularly.",Ensure the organization meets all applicable external obligations.,Administrative,Continuous; formal review quarterly,False,CC2.3; CC3.1,A.5.31; A.5.32; A.5.33; A.5.34,,A.18.1.4,GV.OC-02; GV.OC-03,CA-2; PM-10,CA-2; PM-10,12.1.1; 12.4.2,§164.316(b)(2)(iii),Art. 24; Art. 5(2),§1798.185
GOV,Governance,CCF-GOV-07,System Security Plan (SSP),"The organization develops and maintains a System Security Plan (SSP) that describes the system authorization boundary, system architecture and data flows, interconnections, security categorization, and the implementation status of each applicable security control. The SSP is reviewed and updated at least annually and whenever significant changes occur.",Provide a comprehensive security description of the system for authorizing officials and assessors.,Administrative,Annual review; update upon significant system changes,True,CC2.1,A.5.1,,,GV.PO-01,PL-2; PL-2(3),PL-2; FedRAMP SSP Template,,,,
GOV,Governance,CCF-GOV-08,System Use Notification (Login Banners),"The organization displays an approved system use notification message or banner before granting access to the system. The notification states that usage may be monitored, recorded, and subject to audit; that unauthorized use is prohibited and subject to criminal and civil penalties; and that use of the system indicates consent to monitoring.",Notify users of monitoring and establish legal basis for enforcement.,Technical,Continuous enforcement; annual banner text review,True,CC6.1,A.8.5,,,PR.AA-01,AC-8,AC-8,,,,
GOV,Governance,CCF-GOV-09,Security Planning and Rules of Behavior,"The organization establishes rules of behavior that describe expected behavior and responsibilities for information system usage. Users acknowledge rules of behavior before being granted access. Rules cover acceptable use, data handling, social media, mobile devices, and consequences for non-compliance.",Establish explicit user responsibilities as a condition of system access.,Administrative,At onboarding; annual re-acknowledgment,True,CC1.4,A.5.10,,,GV.PO-01,PL-4,PL-4; PL-4(1),12.3,,,
RSK,Risk Management,CCF-RSK-01,Risk Management Program,"The organization establishes and maintains a formal risk management program aligned with NIST SP 800-37 and NIST SP 800-39 that defines the methodology, scope, frequency, and criteria for information security risk assessments. The program is aligned with organizational objectives, risk appetite, and federal risk management requirements.",Provide a systematic approach to identifying and managing information security risks.,Administrative,Annual program review; continuous risk identification,False,CC3.1; CC3.2,A.5.8,,,GV.RM-01; GV.RM-02; ID.RA-01,RA-1; RA-2; PM-9; PM-28,RA-1; RA-2; PM-9; PM-28,12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2); Art. 35,§1798.100(e)
