domain_id,domain_name,control_id,title,description,objective,control_type,frequency,mapping_soc2,mapping_iso27001,mapping_iso27017,mapping_iso27018,mapping_nist_csf,mapping_nist_800_53,mapping_pci_dss,mapping_hipaa,mapping_gdpr,mapping_ccpa
GOV,Governance,CCF-GOV-01,Information Security Policy,"The organization establishes, approves, and communicates a formal information security policy that defines the organization's commitment to security, assigns accountability, and sets the strategic direction for the security program. The policy is reviewed at least annually and updated as needed.","Ensure a management-approved security policy exists, is communicated, and remains current.",Administrative,Annual review; update upon significant change,CC1.1; CC1.2,A.5.1,5.1.1,,GV.PO-01; GV.PO-02,PL-1; PM-1,12.1; 12.1.1,§164.316(a),Art. 24; Art. 32,§1798.100(e)
GOV,Governance,CCF-GOV-02,Security Roles and Responsibilities,"The organization defines, documents, and communicates information security roles and responsibilities for all personnel, including executive leadership, security team, IT operations, engineering, and general workforce. Accountability for control ownership is clearly assigned.",Ensure clear ownership and accountability for security responsibilities across the organization.,Administrative,Annual review; update upon organizational change,CC1.2; CC1.3,A.5.2; A.5.4,6.1.1,,GV.RR-01; GV.RR-02,PL-1; PM-2; PM-13,12.1.2; 12.4,§164.308(a)(2),Art. 24; Art. 37,
GOV,Governance,CCF-GOV-03,Executive Oversight and Reporting,"Senior leadership and/or the board of directors provide oversight of the information security program through regular reporting on security posture, risk status, compliance status, and material security events. Security metrics are reported to leadership at least quarterly.",Ensure executive visibility into and accountability for the security program.,Administrative,Quarterly reporting; annual program review,CC1.2; CC4.1; CC4.2,A.5.1; A.5.4,,,GV.OV-01; GV.OV-02; GV.OV-03,PM-1; PM-6,12.4; 12.4.1,§164.308(a)(2),Art. 24,
GOV,Governance,CCF-GOV-04,Acceptable Use Policy,"The organization defines and communicates an acceptable use policy that governs the appropriate use of organizational assets, systems, and data. The policy covers topics including personal use, prohibited activities, and consequences for violations.",Establish clear expectations for appropriate use of organizational resources.,Administrative,Annual review; acknowledgment at hire and annually,CC1.1; CC1.4,A.5.10,8.1.3,,GV.PO-01,PL-4,12.3,§164.310(b); §164.312(a)(1),,
GOV,Governance,CCF-GOV-05,Code of Conduct and Ethics,The organization maintains a code of conduct that establishes ethical expectations and behavioral standards for all personnel. Adherence is required as a condition of employment/engagement and is reinforced through regular communication.,Set ethical expectations and create accountability for organizational conduct.,Administrative,Annual acknowledgment; review upon significant change,CC1.1; CC1.4; CC1.5,A.5.4; A.6.2,,,GV.PO-01,PL-4; PS-8,12.6.3.2,§164.308(a)(1)(ii)(C),,
GOV,Governance,CCF-GOV-06,Regulatory and Contractual Compliance Management,"The organization identifies, tracks, and maintains compliance with applicable legal, regulatory, and contractual requirements. A compliance register is maintained and reviewed regularly to ensure obligations are met and changes are addressed.",Ensure the organization meets all applicable external obligations.,Administrative,Continuous; formal review quarterly,CC2.3; CC3.1,A.5.31; A.5.32; A.5.33; A.5.34,,A.18.1.4,GV.OC-02; GV.OC-03,CA-2; PM-10,12.1.1; 12.4.2,§164.316(b)(2)(iii),Art. 24; Art. 5(2),§1798.185
RSK,Risk Management,CCF-RSK-01,Risk Management Program,"The organization establishes and maintains a formal risk management program that defines the methodology, scope, frequency, and criteria for information security risk assessments. The program is aligned with organizational objectives and risk appetite.",Provide a systematic approach to identifying and managing information security risks.,Administrative,Annual program review; continuous risk identification,CC3.1; CC3.2,A.5.8,,,GV.RM-01; GV.RM-02; ID.RA-01,RA-1; RA-2; PM-9,12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2); Art. 35,§1798.100(e)
RSK,Risk Management,CCF-RSK-02,Risk Assessment Execution,"The organization performs comprehensive risk assessments at least annually and upon significant changes to the environment, business, or threat landscape. Assessments identify threats, vulnerabilities, likelihood, and impact to organizational assets and operations.",Identify and evaluate current security risks based on the threat environment.,Administrative,Annual; upon significant change; new projects/systems,CC3.2; CC3.3,A.5.8; A.8.8,,,ID.RA-01; ID.RA-02; ID.RA-03,RA-3; RA-5,6.3.1; 12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2); Art. 35(1),
RSK,Risk Management,CCF-RSK-03,Risk Treatment and Mitigation,"The organization defines and implements risk treatment plans for identified risks. Treatment options include mitigation, transfer, acceptance, and avoidance. Risk owners are assigned and accountable for the implementation and effectiveness of treatment plans.",Ensure identified risks are addressed through appropriate treatment actions.,Administrative,Ongoing; reviewed quarterly,CC3.3; CC3.4; CC5.1,A.5.8,,,ID.RA-05; ID.RA-06,RA-7; PM-4,12.3.1,§164.308(a)(1)(ii)(B),Art. 32(1),
RSK,Risk Management,CCF-RSK-04,Risk Register Maintenance,"The organization maintains a risk register that documents identified risks, risk ratings, risk owners, treatment decisions, and residual risk. The register is reviewed and updated at least quarterly and upon identification of new material risks.","Maintain a centralized, current view of the organization's risk posture.",Administrative,Quarterly update; continuous intake,CC3.2; CC3.4; CC4.1,A.5.8,,,ID.RA-04; GV.RM-05,PM-4; RA-3,12.3.1,§164.308(a)(1)(ii)(A),Art. 32(2),
